Carimbo de data/hora,ID,Squad,SS _Comunicação clara e objetiva,SS _Atendimento ao cliente,SS _Relação interpessoal,SS _Gestão de tempo,SS _Autogerenciamento,BI _Tableau,BI _Power BI,BI _Qlik,BI _AWS Quicksight,BI _MicroStrategy,BI _Pentaho Schema Workbench,BI _Pentaho Report Designer,BI _Oracle BI,BI _SAP Web Intelligence,BI _SAP Crystal Reports,BI _SAP BO,Analy_ PREP _Alteryx,Analy_ PREP _SAS,Analy_ PREP _Pentaho Data Integration,Analy_ PREP _Power Center,Analy_ PREP _SAP Analytics Cloud,Analy_ PREP _Oracle Data Integration,Analy_ PREP _SQL Server Integration Services,LingProg_Python,LingProg_Java,LingProg_SQL,LingProg_R,LingProg_Scala,LingProg_SAS,LingProg_C#,LingProg_SPSS,LingProg_Java Script,LingProg_C,LingProg_C++,BD_SQL Server,BD_Oracle,BD_Postgree SQL,BD_MySQL,BD_MongoDB,BD_Teradata,BD_Snowflake,BD_Access,BigData_Hadoop _Hadoop,BigData_Hadoop _MapReduce,BigData_Hadoop _Hive,BigData_Hadoop _HBase,BigData_Hadoop _Splunk,BigData_Hadoop _Horton works (HDP),BigData_Hadoop _Spark,BigData_Hadoop _Cloudera,BigData_Hadoop _Sqoop,BigData_Hadoop _NiFi,BigData_Hadoop _Flume,BigData_Hadoop _Kafka,BigData_Google Cloud Platform (GCP) _Google Cloud,BigData_Google Cloud Platform (GCP) _Big Query,BigData_Amazon Web Services (AWS) _S3,BigData_Amazon Web Services (AWS) _EC2,BigData_Amazon Web Services (AWS) _Lambda,BigData_Amazon Web Services (AWS) _Glue,BigData_Amazon Web Services (AWS) _Redshift,BigData_Amazon Web Services (AWS) _Spectrum,BigData_Amazon Web Services (AWS) _Athena,BigData_Amazon Web Services (AWS) _RDS,BigData_Microsoft Azure _Microsoft Azure,BigData_Microsoft Azure _Synapse,BigData_Microsoft Azure _Databricks,BigData_Microsoft Azure _SQL Database,BigData_Microsoft Azure _Azure SQL,GrauInstrucao,"Graduação - preencha com:
> nome do curso
> nome da instituição de ensino onde estuda/estudou
> ano/período que está/se formou","Pós-graduação/MBA - preencha com:
> nome do curso
> nome da instituição de ensino onde estuda/estudou
> ano/período que está/se formou",Idiomas_Inglês,Idiomas_Espanhol,Idiomas_Alemão,Idiomas_Francês,Certif_Tableau _Tableau Desktop Specialist,Certif_Tableau _Tableau Desktop Associate,Certif_Tableau _Tableau Server,Certif_Tableau _Tableau Certified Professional,Certif_Tableau _TtT,Certif_Tableau _Tableau Certified Associate Consultant,Certif_Tableau _Tableau Certified Associate Architect,Certif_Alteryx _Alteryx Design Core,Certif_Alteryx _Alteryx Design Advanced,Certif_Alteryx _Alteryx Partner Server Technical,Certif_Alteryx _Alteryx Partner Server Implementation,Certif_Alteryx _Alteryx Partner Certification,Certif_Alteryx _Alteryx Design Expert,"Você possui certificações não citadas acima? Se sim, quais?",Há quanto tempo você trabalha em TI?,Há quanto tempo você trabalha com Analytics?,Nome da última empresa na qual trabalhou,Última função exercida (na última empresa),Em qual período você trabalhou nesta empresa?,Você se declara ciente dos termos acima?,,DEV IDEs _VSCode,DEV IDEs _Jupyter,DEV IDEs _Zeppelin,Orchestration _Airflow,Orchestration _Prefect,Metodologia de Projetos _Scrum,Metodologia de Projetos _Kanban,Metodologia de Projetos _Cascata (Waterfall),Metodologia de Projetos _Lean,UX/UI _Figma,UX/UI _Storytelling,UX/UI _Visualization Best Practices,UX/UI _Design,Certif_AWS _AWS Cloud Practitioner,Certif_AWS _AWS Specialty - Data Analytics,Certif_AWS _AWS DevOps,Analy_ PREP _Talend Data Integration,Certif_AWS _Alteryx Partner Server Implementation,Certif_AWS _Alteryx Partner Certification,Certif_AWS _Alteryx Design Expert,Orchestration _Zeppelin,DEV IDEs _SQL Database,DEV IDEs _Azure SQL
08/01/2024 18:01:21,22,Avengers,2,2,3,3,2,3,3,1,1,1,,,,,,,1,3,1,,,,1,3,,3,,,3,,,,,,3,,1,2,,,,,1,1,,,,,1,,,,,,1,1,1,1,,,1,,1,1,1,,2,,,Ensino superior completo,"Tecnologia em Bancos de Dados
Universidade Cruzeiro do sul – UNICSUL
Conclusão: 05/2021",,2,,,,,,,,,,,,,,,,,,5 anos,2 anos e 9 meses,Dr Transformação Digital,Analista de BI Jr 3,Novembro 2020 - Agostos 2023,Sim,,3,2,,1,,3,3,,,1,1,,,,,,,,,,,,
23/01/2023 09:18:53,23,Highlanders,1,3,2,2,2,3,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,2,3,3,3,1,1,1,2,1,3,1,2,3,2,2,3,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,Ensino superior incompleto,Analise e Desenvolvimento de Sistemas - ADS / Uniateneu / 6º semestre,,3,1,1,1,,,,,,,,sim,,,,,,,10 anos,3 anos,CRC,Analista de MIS,agosto 2020 - março 2022,Sim,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2024 07:25:00,24,Jedis,2,1,2,2,3,,,,,,,,,,,,,,3,,,,3,3,2,3,,,,2,,3,1,,3,1,3,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,Ensino superior completo,Tecnologia em Análise e Desenvolvimento de sistemas - UniCesumar - 2º semestre de 2014,,3,,,,,,,,,,,,,,,,,,14 Anos,4 anos,Controladoria Geral do Distrito Federal,Engenheiro de Dados,março/2020 - dezembro/2022,Sim,,3,2,,,,1,,,,,,,,Selecione se você já possui,,,,,,,,,
25/09/2024 11:35:15,25,Jedis,4,4,3,3,2,4,4,3,3,3,1,1,1,1,1,1,2,2,1,1,1,2,2,3,3,4,1,1,1,1,1,2,1,1,3,4,2,2,2,2,2,3,3,1,3,1,2,1,1,2,2,2,1,2,4,4,4,4,3,4,4,4,4,4,4,1,3,3,1,Ensino superior completo,Bacharelado em Ciência da Computação - Universidade Federal Rural de Pernambuco - 2023.1,,6,2,1,1,,,,,,,,,,,,,,Microsoft AZ900,6,4,Shopee,Data Governance Project Manager,Maio 2024 - Setembro 2024,Sim,,3,1,1,2,1,5,5,3,2,1,5,2,1,Selecione se você já possui,,,4,,,,,,
28/10/2024 11:19:01,26,Jedis,3,2,3,3,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,4,3,3,4,1,4,4,4,2,2,1,3,3,4,2,1,1,4,2,2,4,1,3,4,4,4,4,4,4,4,3,4,4,3,2,5,3,2,Ensino superior completo,Engenharia de Software. UnB. 2019,,3,1,1,1,,,,,,,,,,,,,,Databricks certified data engineer associate. Astronomer certification for apache airflow fundamentals. ANCORD Agente autônomo de investimentos,6 anos,6 anos,VLGI Investimentos,Engenheiro de dados sênior,junho 2020 - março 2024,Sim,,4,4,1,5,2,5,4,4,3,2,3,4,3,,,,1,,,,,,
02/02/2023 09:28:07,27,Avengers,3,3,3,2,2,1,2,,,,,,,,,,2,,1,,,,,1,,2,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,,2,,,2,1,,2,,,,,,,Ensino superior incompleto,"CIÊNCIA DE DADOS.
Instituição: ESTÁCIO.
3° Semestre.",,2,3,,,,,,,,,,,,,,,,,1 ano e 9 meses,Não se aplica.,"Five Acts, Primeira e Atual.",Não se aplica.,Não se aplica.,Sim,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2024 14:59:37,28,Jedis,3,4,3,2,3,,,,,,,,3,,,,,,,,,3,2,,1,2,,,,,,2,,,2,4,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pós-graduação/MBA completo,Química - Mackenzie,Informática - Mackenzie,2,1,,,,,,,,,,,,,,,,,34anos,10anos,Mindlabs,Analista sênior,2021-2023,Sim,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2023 16:31:18,29,Jedis,3,4,4,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ensino superior completo,Gestão da Informação,,4,2,1,1,,,,,,,,,,,,,,,4 anos,0 anos,PagSeguro PagBank,Agile Master,Junho 2021- Abril 2023,Sim,,1,1,1,1,1,4,4,4,4,3,4,2,3,,,,,,,,,,
15/02/2023 10:57:30,30,Jedis,3,3,3,2,2,3,1,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,3,2,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Ensino superior completo,Sistemas de Informação - Completo - 2020,,2,,,,,,,,,,,Selecione se você já possui,,,,,,não,5 anos,5 anos,Central de Recuperação de Crédito - CRC,Analista Pleno de MIS,Janeiro 2018 a Julho 2021,Sim,,,,,,,,,,,,,,,,,,,,,,,,
28/10/2024 10:46:14,31,Transformers,3,3,3,3,3,4,3,2,,,,,,,,,3,,3,,,,,4,,4,3,,,,,3,,2,3,3,3,3,3,,,1,,,,,,,4,,,3,,1,1,2,5,4,2,5,2,2,5,4,3,3,3,3,3,Pós-graduação/MBA completo,Engenharia de Produção - Mackenzie - 2020,Data Science - MBA USP ESALQ - 2023,6,3,1,,,,,,,,,,,,,,,,3,5,Samsung Eletrônica da Amazônia,Analista de Inteligência de Mercado,Ago/2019 - Abr/2021,Sim,,4,4,,2,,3,3,2,1,2,3,3,3,Selecione se você já possui,Selecione se você já possui,,,,,,,,
05/03/2024 07:13:16,32,Transformers,3,1,3,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,4,4,1,1,3,5,3,5,2,4,2,1,1,3,2,2,5,5,5,5,4,2,5,5,4,4,5,4,3,3,5,4,4,4,3,5,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,Ensino superior completo,Análise e Desenvolvimento de Sistemas,,5,2,1,1,,,,,,,,,,,,,,,15 anos,5 anos,Casas Bahia,Engenheiro de Dados,Maio 2021 até Janeiro 2024,Sim,,5,5,3,3,2,4,4,2,2,1,1,1,1,,,,4,,,,,,
06/09/2024 09:51:13,33,Jedis,3,3,3,2,2,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,1,2,2,1,1,1,1,1,4,4,4,2,2,1,1,1,4,2,3,3,1,1,5,3,3,1,1,2,5,5,1,1,1,1,1,1,1,1,3,2,5,5,5,Ensino superior completo,Tencnólogo em banco de dados,,5,2,1,1,,,,,,,,,,,,,,Professional data Engeneer GCP,6 anos,2,NTT DATA,Engenheiro de dados,outubro 2023 - agosto 2024,Sim,,5,5,1,4,1,5,5,5,1,1,1,1,1,,,,1,,,,,,
13/12/2023 15:47:17,34,Jedis,4,3,4,3,3,4,4,2,3,1,3,3,3,1,1,1,3,2,4,3,1,1,4,5,2,5,5,2,2,3,3,3,3,3,5,4,5,5,4,4,5,4,4,4,2,1,1,1,5,3,1,1,1,2,3,5,5,3,4,5,5,3,5,3,4,4,5,4,4,Pós-graduação/MBA incompleto,Engenharia Eletrônica - Instituto Mauá de Tecnologia - 2022,"MBA Gestão de Negócios - ESALQ USP - 2024
Pós Graduação em Inteligência Artificial - Instituto Mauá de Tecnologia - 2024",6,4,1,1,,,,,,,,,,,,,,,5 Anos,5 Anos,ioasys,Engenheiro de Dados,Dezembro 2022 - Novembro 2023,Sim,,5,5,2,4,1,4,4,2,2,3,4,3,3,,,,,,,,,,
20/04/2023 10:13:49,35,Jedis,3,3,3,3,3,4,4,1,1,4,1,1,1,1,1,1,3,4,1,2,1,1,3,1,1,4,1,1,4,1,1,1,1,1,4,2,1,1,1,2,1,1,2,1,2,1,2,,1,1,,,,,3,3,,,,,,,,,3,3,3,3,3,Pós-graduação/MBA completo,Redes de   Computadores - FAENAC,MBA B.I. - FIAP,4,2,,,,,,,,,,,,,,,,,19 anos,8 anos,Porto Seguro Bank,Data Advanced Analytics,Fevereiro 2022 - Fevereiro 2023,Sim,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2023 20:32:58,36,Transformers,3,3,3,2,2,3,3,,,2,,,,,,,,,2,2,,2,3,1,,3,1,,,,,,,,3,3,2,2,1,3,,3,2,2,2,1,,1,1,1,1,,,1,1,1,,,,,,,,,2,,,2,2,Pós-graduação/MBA completo,"Gestão Finaceira; UNIP - Alphaville, Barueri-SP; 2017.","MBA BI, Business Analytics e Big Data; FAT - Fundação de Apoio à Tecnologia; 2019.",1,1,,,,,,,,,,,,,,,,,25 Anos,10 Anos,Indra,Analista de Sistemas BI / Especialista Digital / Tech Lead,abril 2019 - abril 2023,Sim,,1,1,,,,2,2,,,,,,,,,,,,,,,,
08/02/2024 17:54:34,37,Jedis,3,3,2,2,2,1,1,,,,,,,,,,2,1,,2,,,2,4,2,4,1,1,,,,1,1,,2,3,2,3,1,,1,3,1,1,2,1,,,3,,,,,1,2,2,1,1,1,1,1,1,1,1,3,2,3,3,3,Pós-graduação/MBA completo,"Sistemas de Informação
Universidade Nove de Julho
2017 a 2020","Especialização em Inteligência Artificial e Aprendizado de Máquina
Universidade Nove de Julho
2021 a 2022",5,,,,,,,,,,,,,,,,,,5 anos,3 anos,Ambev,Engenheiro de Dados,Janeiro 2021 - Fevereiro 2024,Sim,,4,3,,3,,4,3,2,3,1,,,,,,,,,,,,,
28/10/2024 11:29:46,38,Jedis,3,3,3,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,3,2,1,1,1,1,2,3,2,2,2,3,3,2,1,1,1,2,2,2,1,1,1,3,1,1,1,1,2,1,2,3,2,2,2,1,1,1,2,3,3,3,3,3,Pós-graduação/MBA completo,"> Bacharelado em Engenharia de Controle e Automação
> Universidade Federal de Lavras
> 2018/01","> Mestrado em Engenharia de Sistemas Eletrônicos
> Universidade Federal de Santa Catarina
> 2020/01

> Doutorado Engenharia Elétrica
> Universidade Federal de Santa Catarina
> 2023/02 (Interrompido) ",4,2,1,2,,,,,,,,,,,,,,"Databricks Lakehouse Fundamentals
Databricks Azure Platform Architect Badge
Astronomer Certification for Apache Airflow Fundamentals",3 anos e 6 meses,3 anos e 6 meses,TD Business,Head de Engenharia de Dados,abril 2022 - abril 2024,Sim,,3,3,1,3,1,3,3,2,1,3,3,3,2,,,,1,,,,,,
24/01/2023 12:07:53,39,Highlanders,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,2,3,1,2,1,1,1,3,2,1,1,1,1,1,2,3,1,1,2,1,1,3,1,1,1,1,1,1,Ensino superior incompleto,Gestão da Tecnologia da Informação - Uniateneu - 2024,,2,1,1,1,,,,,,,,sim,sim,,,,,,7,7,Acitvox,Analista de BI Sênior,Abril 2019 - Abril 2021,Sim,,,,,,,,,,,,,,,sim,,,,,,,,,
26/01/2023 12:20:06,40,Highlanders,3,3,3,3,3,1,1,1,,,2,2,3,2,2,2,1,,2,,,3,5,2,1,5,,2,,2,,1,1,1,5,3,2,2,1,,,3,2,,2,2,,,3,2,2,1,1,1,1,2,3,2,1,1,2,,2,3,2,1,2,3,3,Pós-graduação/MBA completo,"Sistema de Informação
Universidade Anhanguera
2012","Banco de Dados e Inteligência de Negócio (BI)
IESB
2017",2,,,,,,,,,,,,,,,,,"DECP - Data Engineer Certified Professional (Data Science Academy)
MCSE - Data Management and AnalyticsMCSE - Data Management and Analytics (Microsoft)
MCSA - SQL 2016 Database DevelopmentMCSA - SQL 2016 Database Development (Microsoft)
DEPC - DevOps Essentials Professional CertificateDEPC - DevOps Essentials Professional Certificate (CertiProf)
SFPC - Scrum Foundations Professional CertificateSFPC - Scrum Foundations Professional Certificate (CertiProf)",13 anos,10 anos,CDS - Condomínio de Soluções,Analista de BI,julho 2012 - outubro 2013,Sim,,,,,,,,,,,,,,,sim,sim,,,,,,,,
31/01/2023 18:05:15,41,Transformers,3,3,2,2,3,3,5,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,3,2,4,3,1,1,2,1,3,1,1,4,3,4,4,3,1,1,3,3,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,3,3,Ensino superior completo,Análise e Desenvolvimento de Sistemas | Faculdade Impacta Tecnologia | jun-2019,,3,2,1,1,,,,,,,,,,,,,,,5 anos,4 anos,Alvarez & Marsal,Engenheiro de Dados,jun 2022 - set 2022,Sim,,,,,,,,,,,,,,,,,,,,,,,,
